City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI
Ahmedabad,2017-10-11,61.72,,,,36.6,,,,9.73,105.0
Ahmedabad,2017-10-21,126.57,,,,46.52,,,,27.85,319.0
Ahmedabad,2017-10-22,59.26,,,,28.25,,,,26.22,146.0
Ahmedabad,2017-10-23,51.72,,,,34.62,,,,24.71,80.0
Ahmedabad,2017-10-24,67.4,,,,37.53,,,,19.89,102.0
Ahmedabad,2017-10-25,79.49,,175.81,28.34,89.33,,175.81,62.62,18.21,459.0
Ahmedabad,2017-10-26,112.25,,104.94,36.61,141.28,,104.94,43.78,23.6,1426.0
Ahmedabad,2017-10-27,133.07,,70.84,51.06,121.9,,70.84,61.91,32.46,1348.0
Ahmedabad,2017-10-28,93.96,,71.28,46.94,118.1,,71.28,47.05,6.36,1073.0
Ahmedabad,2017-10-29,93.7,,55.17,53.13,108.3,,55.17,47.28,21.54,952.0
Ahmedabad,2017-11-03,96.65,,24.81,67.28,66.67,,24.81,67.31,33.84,550.0
Ahmedabad,2017-11-04,107.09,,16.58,95.73,59.61,,16.58,104.29,44.5,538.0
Ahmedabad,2017-11-05,119.02,,17.91,82.3,53.51,,17.91,101.88,77.28,498.0
Ahmedabad,2017-11-06,83.86,,36.74,82.94,67.88,,36.74,90.76,52.82,517.0
Ahmedabad,2017-11-07,72.67,,42.99,108.74,85.13,,42.99,106.41,27.74,901.0
Ahmedabad,2017-11-08,94.32,,62.88,105.75,98.51,,62.88,127.84,55.03,929.0
Ahmedabad,2017-11-09,89.0,,38.8,119.82,87.41,,38.8,131.99,42.9,850.0
Ahmedabad,2017-11-10,85.35,,48.64,105.07,87.55,,48.64,111.22,62.31,669.0
Ahmedabad,2017-11-11,101.25,,51.7,106.82,90.69,,51.7,113.03,58.29,1141.0
Ahmedabad,2017-11-12,90.02,,47.15,99.02,83.49,,47.15,130.27,67.89,707.0
Ahmedabad,2017-11-13,119.17,,98.33,98.11,121.12,,98.33,110.08,48.07,1577.0
Ahmedabad,2017-11-14,207.19,,118.02,146.18,159.36,,118.02,160.06,37.21,1747.0
Ahmedabad,2017-11-15,148.83,,45.88,29.79,48.57,,45.88,113.64,36.02,1065.0
